题目,方向,公司,答案位置
手撕SQL题单,SQL,字节,03_岗位弹药库/字节面试-2026-09-03-今日头条数据科学/04_今日速成包/手撕SQL速刷题单.md
因果专题,DID/分层/新用户对比,字节,03_岗位弹药库/字节面试-2026-09-03-今日头条数据科学/04_今日速成包/因果推断专题_怎么证明因果.md
大宇技术面预测题库,广告算法,大宇无限,03_岗位弹药库/大宇无限-广告岗-面试准备/03_速成包/大宇无限技术面_预测题库.md
大宇补充题库,广告算法,大宇无限,03_岗位弹药库/大宇无限-广告岗-面试准备/03_速成包/大宇无限技术面_补充题库.md
大宇广告知识库八股,广告算法,大宇无限,03_岗位弹药库/大宇无限-广告岗-面试准备/04_广告知识库/
比亚迪预测题库,营销,比亚迪,03_岗位弹药库/比亚迪-面试准备/03_速成包/比亚迪营销岗_预测题库.md
乐趣无限预测题库,推荐,乐趣无限,03_岗位弹药库/乐趣无限-面试准备/03_速成包/
万声预测题库,推荐,万声音乐,03_岗位弹药库/万声科技-面试准备/03_速成包/
GoodLuck预测题库,游戏数据,GoodLuckStudio,03_岗位弹药库/GoodLuckStudio-面试准备/03_速成包/
推荐系统方法论,推荐,跨岗位,02_方向知识库/推荐系统/
数据科学方法论,数据科学,跨岗位,02_方向知识库/数据科学/
广告算法方法论,广告,跨岗位,03_岗位弹药库/大宇无限-广告岗-面试准备/04_广告知识库/
SQL与统计,SQL,跨岗位,02_方向知识库/SQL与统计/
主打项目弹药,推荐/广告,跨岗位,02_方向知识库/推荐系统/09_微视账号推荐与看点图集项目弹药.md
技术前沿弹药GNN/LLM,前沿,跨岗位,02_方向知识库/推荐系统/10_技术前沿弹药_GNN与LLM调研.md
