项目名,公司,技术栈,核心数字,来源,可讲要点
百度应用商店广告CTR预估,百度,GBDT,ecpm+21%,简历+弹药库,按pCTR×price排序=竞价机制雏形；GBDT CTR预估，按pCTR×price排序=竞价机制雏形，eCPM+21%
百度CVR预估,百度,XGBoost,ecpm+24%,简历+弹药库,小流量验证双阶段；XGBoost CVR双阶段预估，小流量验证，eCPM+24%
腾讯看点多目标推荐,腾讯QQ看点,ESMM/MMoE,五星1次四星3次,简历+晋升材料,多品类统一推荐；ESMM/MMoE多品类统一推荐，五星1次四星3次绩效
微视账号推荐系统,腾讯微视,四路召回/转粉建模,关注流水900万行每小时,腾讯文档05_UGC推荐,主打项目:作者追打/用户兴趣/热门/爱互动；四路召回(作者追打/用户兴趣/热门/爱互动)+转粉建模，关注流水900万行/小时
看点图集多目标,腾讯QQ看点,ESMM/MMoE/无量3.0,大盘时长+0.42%互动+35%浮层时长+6.8%总时长+2.85%,晋升材料童力材料,精排4格置信度;BG第一个无量3.0全量上线多目标；精排4格置信度，BG第一个无量3.0全量上线多目标
短内容浮层多目标召回,腾讯QQ看点,多目标召回,进评论率+80%篇均时长+8%总时长+4%,晋升材料,实验桶56/67 vs 对照桶90/91；多目标召回下沉，实验桶56/67 vs对照90/91，进评论率+80%
OPPO多位置校准,OPPO,CTR校准,CTR偏差30%→20% ARPU+1.04%,简历+弹药库,多场景多目标自适应；多场景多目标自适应校准，CTR预估偏差从30%降到20%
OPPO oCPX智能出价,OPPO,oCPX/PID,ROAS+8%冷启通过率+15%新广告曝光+30%,简历+弹药库,bid=tCPA×pCTR×pCVR/(1+λ) PID每30分钟调λ 10%探索池；bid=tCPA×pCTR×pCVR/(1+λ)，PID每30分钟调λ，10%探索池
OPPO端云协同,OPPO,端云架构,云端成本-25%,简历+弹药库,端侧粗排+云端精排，模型蒸馏+特征下沉，云端推理成本-25%
OPPO对比学习多模态,OPPO,对比学习/多模态,中长尾ARPU+2.3%,简历+弹药库,应用图标CNN+标题BERT+Cross-Attention；应用图标CNN+标题BERT+Cross-Attention，中长尾ARPU+2.3%
中信客群经营策略,中信,策略建模,13项策略 余额抢夺3.8亿每月,简历+弹药库,六大渠道漏斗；六大渠道漏斗(外呼/动卡/短信/企微/公众号/APP)，13项策略落地
中信人行征信识别,中信,征信识别,他行信贷587万 他行分期1142万,简历+弹药库,人行征信报告解析建模，识别他行信贷587万/他行分期1142万潜在客户
中信定价对标,中信,定价策略,累计5.7亿,简历+弹药库,竞品利率对标+类oCPX出价定价策略，累计影响规模5.7亿
微视关注到留存因果,腾讯微视,因果推断,描述性9.4pp→DID不显著→PSM+22~33%,简历+弹药库,DID/PSM方法论 因果项目代表作；DID/PSM方法论代表作，描述性9.4pp→DID不显著→PSM+22~33%
微视好友达人推荐系统,腾讯微视,多路召回/LR(FTRL)/Graph Embedding,发现好友页pCTR+11.19%,工作资料_微视+解码文本,关系链驱动好友+达人双轨召回，覆盖发现好友/关注/消息三场景，Graph Emb召回pCTR+14.22%
微视排序模型与Embedding实验,腾讯微视,LR+FTRL/DSSM双塔/Graph Embedding(w2v/DeepWalk/LINE/Node2Vec),Graph Emb二期pCTR+14.22%,工作资料_微视+各种emb实验,从LR基线到DSSM双塔到Graph Emb多阶段迭代，含w2v消融实验(-2.4%证明图谱结构价值)
微视个人主页与场景化推人,腾讯微视,场景分层/兴趣召回/漏斗优化,个人主页关注转化率3.6%,工作资料_微视+解码文本,零关注用户三维分层(新老×关系链×消费行为)+一二级兴趣召回，近一半关注发生在个人主页
微视保量机制,腾讯视频/QQ看点,PID控制/全局定量扶持/缺量分级,精选综艺VV+0.9%,解码文本-保量机制,一期PID 5分钟分片24窗口→二期全局定量扶持+缺量5档加权1.05-1.35倍，支持5频道
知识图谱构建与实时干预,腾讯QQ看点,图谱构建/SPO操作/四级加锁/在线干预,材料中未记录具体数值,解码文本-图谱,在线干预即时生效+离线构建回放修改，SPO级delete/add/update+四级加锁，解决属性永不更新缺陷
QQ看点搜索推荐服务重构,腾讯QQ看点,统一接口/Processor模块化/异步依赖图,3应用4+场景,解码文本-搜索推荐重构,多套代码→统一接口+分应用部署，Processor模块化+异步依赖图，4阶段灰度迁移控风险
腾讯UGC内容推荐召回体系,腾讯QQ看点,内容池分层/DSSM双塔/多模态Embedding/冷启动三档,大盘池7554条内容,腾讯文档05_UGC推荐,五层内容池(大盘/首屏/冷启三档)+7种Embedding召回+冷启动explore_state渐进探索
腾讯烟火推荐从0到1,腾讯QQ看点,推荐系统全链路,材料中未记录具体数值,晋升答辩-童力材料,独立Tab从0到1搭建推荐系统，含召回/排序/重排全链路
腾讯品类推荐中台,腾讯QQ看点,品类推荐pipeline/模型组件化,60+stars开源repo,晋升答辩-专业影响,kandian_categroy_rank_model训练pipeline，模型统一实现方案被腾讯网/全民K歌/微信支付等借鉴
腾讯特征体系建设,腾讯QQ看点,特征工程/亲密度建模/分层特征,材料中未记录具体数值,晋升答辩+05_UGC推荐,用户-账号亲密度分(guid维度互动/曝光/时长聚合)，基础数据→账号→用户→内容→亲密度五层特征
