数字,口径,公司/项目,来源,入库时间
+21%,ecpm提升,百度/广告CTR预估,简历,2026-09-04
+24%,ecpm提升,百度/CVR预估,简历,2026-09-04
五星1次四星3次,绩效考核,腾讯QQ看点/多目标推荐,简历,2026-09-04
+0.42%,大盘累积使用时长,看点/短内容浮层多目标精排,晋升材料-童力材料,2026-09-04
+0.10%,广义DAU,看点/短内容浮层多目标精排,晋升材料,2026-09-04
+0.07%,广义DAU留存,看点/短内容浮层多目标精排,晋升材料,2026-09-04
+35%,短内容互动行为,看点/短内容浮层多目标精排,晋升材料,2026-09-04
+6.8%,浮层时长,看点/短内容浮层多目标精排,晋升材料,2026-09-04
+2.85%,总时长,看点/短内容浮层多目标精排,晋升材料,2026-09-04
+80%,进评论率,看点/短内容浮层多目标召回,晋升材料,2026-09-04
+70%+,进评论数,看点/短内容浮层多目标召回,晋升材料,2026-09-04
+8%,篇均时长,看点/短内容浮层多目标召回,晋升材料,2026-09-04
+4%,总时长,看点/短内容浮层多目标召回,晋升材料,2026-09-04
30%→20%,CTR预估偏差,OPPO/多位置校准,简历,2026-09-04
+1.04%,ARPU,OPPO/多位置校准,简历,2026-09-04
+8%,广告主ROAS,OPPO/oCPX,简历,2026-09-04
+15%,冷启通过率,OPPO/oCPX,简历,2026-09-04
+30%,新广告曝光,OPPO/oCPX,简历,2026-09-04
-25%,云端成本,OPPO/端云协同,简历,2026-09-04
+2.3%,中长尾ARPU,OPPO/对比学习多模态,简历,2026-09-04
13项,落地策略数,中信/客群经营,简历,2026-09-04
3.8亿每月,余额抢夺规模,中信/客群经营,简历,2026-09-04
587万,他行信贷识别,中信/人行征信,简历,2026-09-04
1142万,他行分期识别,中信/人行征信,简历,2026-09-04
5.7亿,定价对标累计,中信/定价对标,简历,2026-09-04
9.4pp,描述性留存差,微视/关注到留存,简历,2026-09-04
+22~33%,PSM时长提升,微视/关注到留存,简历,2026-09-04
20万,每小时账号量级,微视/高转粉表,腾讯文档05_UGC推荐,2026-09-04
900万行每小时,关注流水量级,微视/账号推荐,腾讯文档05_UGC推荐,2026-09-04
~73%,DAU中0关注用户占比,微视/关注生态,解码文本-关注价值分析,2026-09-04
~630万,登录用户中0关注用户数,微视/关注生态,解码文本-关注价值分析,2026-09-04
3.6%,个人主页关注转化率,微视/个人主页,解码文本-关注价值分析,2026-09-04
0.8%,推荐页关注转化率,微视/推荐页,解码文本-关注价值分析,2026-09-04
14个,关注质变阈值(留存最高),微视/关注留存,解码文本-关注数与长留存关联,2026-09-04
第9-14天,最佳关注节奏(达到14个关注),微视/关注留存,解码文本-关注数与长留存关联,2026-09-04
+11.19%,Graph Emb一期发现好友页pCTR,微视/好友达人推荐,工作资料_微视-各种embedding实验,2026-09-04
+14.22%,Graph Emb二期发现好友页pCTR,微视/好友达人推荐,工作资料_微视-各种embedding实验,2026-09-04
+10.59%,Graph Emb二期关注页pCTR,微视/好友达人推荐,工作资料_微视-各种embedding实验,2026-09-04
-2.40%,w2v替换消融实验关注页pCTR(证明图谱结构价值),微视/Graph Emb,工作资料_微视-各种embedding实验,2026-09-04
AUC 0.81/0.80,达人LR模型训练/测试AUC,微视/好友达人推荐,工作资料_腾讯-账号推荐项目wiki,2026-09-04
190万/天(峰值230万),微视日均新增关注次数,微视/账号推荐,工作资料_腾讯-账号推荐项目wiki,2026-09-04
62万/天,推人卡片贡献的每日关注次数,微视/账号推荐,工作资料_腾讯-账号推荐项目wiki,2026-09-04
10→12个,人均关注数(3月→6月),微视/账号推荐,工作资料_腾讯-账号推荐项目wiki,2026-09-04
0.546→0.639,图集模型AUC演进,看点/图集推荐,腾讯文档06_看点图集-工作笔记,2026-09-04
4972万/14.8万/2.25亿,图集用户数/内容数/曝光数,看点/图集推荐,腾讯文档06_看点图集-工作笔记,2026-09-04
约1:27,图集正负样本比,看点/图集推荐,腾讯文档06_看点图集-工作笔记,2026-09-04
+0.9%,精选频道综艺品类VV,保量机制二期,解码文本-保量机制二期,2026-09-04
5分钟/24分片,PID时间分片/保留窗口(2小时),保量机制一期,解码文本-保量机制一期,2026-09-04
1.05-1.35倍,缺量5档加权倍数,保量机制二期,解码文本-保量机制二期,2026-09-04
约10%,oCPX探索流量池比例,OPPO/oCPX,简历-品牌版,2026-09-04
<1万次,冷启动保护期阈值(累计曝光),OPPO/oCPX,简历-品牌版,2026-09-04
每30分钟,PID参数更新频率,OPPO/oCPX,简历-品牌版,2026-09-04
约+10%,竞品借贷预测办理率提升,中信/竞品借贷,简历-品牌版,2026-09-04
6个,统一营销渠道数(外呼/动卡/短信/企微/公众号/APP),中信/客群经营,简历-品牌版,2026-09-04
3819万/1944万/678万,分期/余额抢夺/竞品借贷目标客群规模,中信/客群经营,简历-腾讯推荐版,2026-09-04
7554条,大盘池内容数量(2020-12-26版本),看点/UGC内容推荐,腾讯文档05_UGC推荐-内容推荐召回,2026-09-04
7470组,新用户分群数(OS/网络/职业/性别/学历/渠道/年龄),看点/冷启动,腾讯文档05_UGC推荐-冷启动,2026-09-04
60+stars,模型统一实现开源repo,腾讯/专业影响,晋升答辩-专业影响,2026-09-04
5篇,KM技术文章数量,腾讯/专业影响,晋升答辩-专业影响,2026-09-04
约3周,搜索推荐服务重构开发周期(不含看点),看点/搜索推荐重构,解码文本-搜索推荐服务重构,2026-09-04
