概念,类型,关联概念,关系类型,关联数字,出处文档
微视账号推荐,项目,四路召回,使用,关注页pCTR+10.59%/发现好友页+14.22%,02_方向知识库/推荐系统/09_微视账号推荐与看点图集项目弹药.md
微视账号推荐,项目,图Embedding,使用,关注页pCTR+10.59%,02_方向知识库/推荐系统/09_微视账号推荐与看点图集项目弹药.md
微视账号推荐,项目,关注率→留存,驱动,描述性9.4pp→DID不显著→PSM+22~33%,02_方向知识库/数据科学/07_腾讯文档实战弹药_数据分析项目.md
看点图集,项目,ESMM/MMoE,使用,五星1次四星3次,02_方向知识库/推荐系统/09_微视账号推荐与看点图集项目弹药.md
看点图集,项目,短内容浮层,使用,大盘时长+0.42%/互动+35%/浮层时长+6.8%/总时长+2.85%,02_方向知识库/推荐系统/09_微视账号推荐与看点图集项目弹药.md
OPPO广告,项目,多位置校准,使用,CTR偏差30%→20%,02_方向知识库/推荐系统/10_技术前沿弹药_GNN与LLM调研.md
OPPO广告,项目,oCPX,使用,ROAS+8%/冷启通过率+15%/新广告曝光+30%,02_方向知识库/推荐系统/10_技术前沿弹药_GNN与LLM调研.md
OPPO广告,项目,冷启动,使用,通过率+15%/曝光+30%,02_方向知识库/推荐系统/10_技术前沿弹药_GNN与LLM调研.md
OPPO广告,项目,端云协同,使用,云端成本-25%,02_方向知识库/推荐系统/10_技术前沿弹药_GNN与LLM调研.md
OPPO广告,项目,对比学习/多模态,使用,中长尾ARPU+2.3%,02_方向知识库/推荐系统/10_技术前沿弹药_GNN与LLM调研.md
百度广告,项目,GBDT CTR/CVR,使用,eCPM+21%/+24%,01_原始资料库/简历/腾讯文档版/
中信客群,项目,因果推断/实验,使用,余额抢夺3.8亿/月/定价对标5.7亿,02_方向知识库/数据科学/07_腾讯文档实战弹药_数据分析项目.md
四路召回,技术,作者追打/用户兴趣/热门/其他,属于,关注页pCTR+10.59%,02_方向知识库/推荐系统/09_微视账号推荐与看点图集项目弹药.md
图Embedding,技术,Word2Vec/DeepWalk/LINE/Node2Vec/MetaPath,包含,-,02_方向知识库/推荐系统/09_微视账号推荐与看点图集项目弹药.md
oCPX,技术,λ拉格朗日乘子/PID调控,机制,ROAS+8%,03_岗位弹药库/大宇无限-广告岗-面试准备/04_广告知识库/01_核心概念与机制
冷启动,技术,先验初始化/探索池/渐进退出,机制,通过率+15%,03_岗位弹药库/大宇无限-广告岗-面试准备/04_广告知识库/01_核心概念与机制
ESMM,技术,样本选择偏差/数据稀疏,解决,pCTCVR=pCTR×pCVR,02_方向知识库/推荐系统/09_微视账号推荐与看点图集项目弹药.md
MMoE,技术,专家网络/门控软共享,解决,五星1次四星3次,02_方向知识库/推荐系统/09_微视账号推荐与看点图集项目弹药.md
多模态,技术,CNN+BERT+Cross-Attention,构成,-,02_方向知识库/推荐系统/10_技术前沿弹药_GNN与LLM调研.md
DID/PSM,技术,因果推断,方法,PSM+22~33%,02_方向知识库/数据科学/07_腾讯文档实战弹药_数据分析项目.md
广告算法,方向,oCPX/冷启动/CTR/CVR/多目标,覆盖,-,03_岗位弹药库/大宇无限-广告岗-面试准备/04_广告知识库/
推荐算法,方向,召回/排序/重排/多目标,覆盖,-,02_方向知识库/推荐系统/
数据科学,方向,因果推断/实验设计/数据治理,覆盖,-,02_方向知识库/数据科学/
